Title,Summary,Contents,Photo,Section,Themes,Times,Place,Referenced articles,Related articles,Author,(Source),Publication date,Link,,,,,,,,,,,,,,
Centro de Saúde da Lapa parceira da JFE,,"Ao longo dos últimos meses, caracterizados por desafios e incertezas perante a pandemia que nos assola, a Junta de Freguesia de Estrela orgulha-se de ter estado atenta às necessidades da sua Comunidade e de continuar a acompanhar todas as situações que lhe chegam. Para tal, foi e continua a ser essencial o apoio de vários parceiros, que têm realizado um trabalho excecional. Assim, a JFE não pode deixar de agradecer ao Centro de Saúde da Lapa, sito na Rua de São Ciro, n.º 36, pela disponibilidade de articulação e de colaboração multidisciplinar, nomeadamente, no que concerne às receitas médicas dos nossos fregueses, permitindo-nos, em conjunto dar resposta a esta necessidade, protegendo, simultaneamente, quem se encontra em maior risco. Relembramos que a linha SOS estrela continua ativa, de segunda a sexta-feira, através dos números 915 243 647 e 911 543 879, das 9h00 às 17h00. Se faz parte de um grupo de risco, não hesite em contactar-nos. A Freguesia de Estrela e a sua Comunidade estão aqui para si.",https://www.jf-estrela.pt/images/autarquia/noticias/737/imagem_737.png,Notícias,,9h-17h,"Centro de Saúde da Lapa, Rua de São Ciro, n.º 36",,,,Junta de freguesia: estrela,7/10/2020,https://www.jf-estrela.pt/eventos-e-noticias/noticias/737-centro_de_saude_da_lapa_parceira_da_jfe,,,,,,,,,,,,,,
"""Comunidades Pró-Envelhecimento 2020/2021""",,"A jnta de Freguesia de Estrela foi distinguida pela Ordem dos Psicólogos Portugueses coma  atribuição do selo ""Comunidades Pró-Envelhecimento 2020/2021"", pelos seus programas, planos estratégicos, práticas e políticas que demonstram um compromisso forte e efetivo com a promoção do envelhecimento saudável e bem-sucedido ao longe de todo o ciclo de vida. Este é um reconhecimento que muito nos orgulha, pois tentamos diariamente dar respostas adequadas e inovadoras às necessidades e interesses da população sénior. Esta distinção impõe-nos a promessa de continuarmos a escutar a respeitar os idosos da Freguesia, incluindo-os de uma forma ativa no presente para que todos juntos possamos delinear um bom futuro!",https://www.jf-estrela.pt/images/autarquia/noticias/736/imagem_736.png,Notícias,,,JFE,,,,Junta de freguesia: estrela,6/10/2020,https://www.jf-estrela.pt/eventos-e-noticias/noticias/736-comunidades_pro_envelhecimento_20202021,,,,,,,,,,,,,,
Requalificação da Rua São Francisco Borja terminada,"A requalificação dos passeios da Rua São Francisco Borja econra-se concluída, dando a possibilidade de se caminhar em segurança por esta rua da Estrela.","A segurança de quem caminha nas ruas da Estrela é uma das principais preocupações da Junta de Freguesia, levando-nos a atuar nesse sentido. Assim, os passeios da Rua São Francisco Borja encontram-se agora requalificados. Esta intervenção, à semelhança de outras que têm decorrido no último ano, foi realizada a fim de melhorar o percuros pedonal de quem caminha pela freguesia. A calçada original foi substituída por calçada mista, conferindo, assim, uma maior aderência ao piso. O projeto é da Junta de Freguesia de Estrela, com intervenção financiada pela Câmara Municipal de Lisboa e executado pela junta de Freguesia de Estrela. Na Estrela, o nosso trabalho é em prol dos fregueses e do seu bem-estar, tentando, sempre, proporcionar as melhores condições de espaço público.",https://www.jf-estrela.pt/images/autarquia/noticias/735/imagem_735.png,Notícias,,,Rua São Fincisco Borja,,,,Junta de freguesia: estrela,1/10/2020,https://www.jf-estrela.pt/eventos-e-noticias/noticias/735-requalificacao_da_rua_sao_francisco_borja_terminada,,,,,,,,,,,,,,
Requalificação da Calçada das Necessidades terminada,"A requalificação da Calçada das Necessidades encontra-se concluiída, dando a possibilidade de se caminhar em segurança por esta rua da Estrela."," A segurança de quem cominha nas ruas da Estrela é uma das principais preocupações da Junta de Freguesia, levando-nos a atuar nesse sentido. Assim, os passeios da Calçada das Necessidades enconram-se agora requalificados. Esta intervenção, à semelhança de outras que têm decorrido no último ano, foi realizada a fim de melhorar o percurso pedonal de quem caminha pela freguesia. A calçada original foi substituída por calçada mista, conferindo, assim, uma maior aderência ao piso. O projeto é da Junta de Freguesia de Estrela, com intervenção financiada pela Câmara Municipal de Lisboa e executada pela Junta de Freguesia de Estrela. Na Estrea, o nosso trabalho é em prol dos fregueses e do seu bem-estar tentando, sempre, proporcionar as melhores condições de espaço público.",https://www.jf-estrela.pt/images/autarquia/noticias/734/imagem_734.png,Notícias,,,Calçada das necessidades,,,,Junta de freguesia: estrela,1/10/2020,https://www.jf-estrela.pt/eventos-e-noticias/noticias/734-requalificacao_da_calcada_das_necessidades_terminada,,,,,,,,,,,,,,
Associação Mansarda via avançar com residência em Lisboa para a comunidade artística,"A Quinta Conde dos Arcos, nos Alivais, é a morada de uma nova creche com capacidade para 84 crianças até aos três anos. O investimento da autarquia, superior a um milhão de euros, integra o Programa de Desenvolvimento de Creches em Lisboa - B.a.Bá.",,,Notícias,Cultura; Direitos sociais,,,,,,CML,29/10/2020,https://www.lisboa.pt/atualidade/noticias/detalhe/associacao-mansarda-vai-avancar-com-residencia-em-lisboa-para-a-comunidade-artistica/,,,,,,,,,,,,,,
Mês Internacional das Bibliotecas EScolares nas Escolas de Lisboa,,,,Notícias,Educação,,,,,,CML,29/10/2020,https://www.lisboa.pt/atualidade/noticias/detalhe/mes-internacional-das-bibliotecas-escolares-nas-escolas-de-lisboa/,,,,,,,,,,,,,,
MOVE Lisboa define a visão para a Mobilidade,,,,Notícias,Mobilidade,,,,,,CML,29/10/2020,https://www.lisboa.pt/atualidade/noticias/detalhe/move-lisboa-define-a-visao-para-a-mobilidade/,,,,,,,,,,,,,,
Comunicado: DIstribuição de alimentos às pessoas em situação de sem abirgo em Lisboa,,,,Notícias,Direitos sociais,,,,,,CML,28/10/2020,https://www.lisboa.pt/atualidade/noticias/detalhe/comunicado-distribuicao-de-alimentos-as-pessoas-em-situacao-de-sem-abrigo-em-lisboa/,,,,,,,,,,,,,,
Vicente de MOura recebe Medalha Municipal de Mérito Desportivo,,,,Notícias,Desporto,,,,,,CML,27/10/2020,https://www.lisboa.pt/atualidade/noticias/detalhe/vicente-de-moura-recebe-medalha-municipal-de-merito-desportivo/,,,,,,,,,,,,,,
Cemitérios de LIsboa abertos nos dias de Fiéis Defuntos e de Todos-os-Santos,,,,Notícias,Informações e serviços,,,,,,CML,27/10/2020,https://www.lisboa.pt/atualidade/noticias/detalhe/cemiterios-de-lisboa-abertos-nos-dias-de-fieis-defuntos-e-de-todos-os-santos/,,,,,,,,,,,,,,
Câmara Municipal financia construção da nova Esquadra da Alta de Lisboa,,,,Notícias,Segurança,,,,,,CML,27/10/2020,https://www.lisboa.pt/atualidade/noticias/detalhe/camara-municipal-financia-construcao-da-nova-esquadra-da-alta-de-lisboa/,,,,,,,,,,,,,,
Visão Fest Verde debate o planeta e o ambiente,,,,Notícias,Ambiente,,,,,,CML,27/10/2020,https://www.lisboa.pt/atualidade/noticias/detalhe/visao-fest-verde-debate-o-planeta-e-o-ambiente/,,,,,,,,,,,,,,
Medalha Municipal de Mérito Desportivo entregue ao Maratona Clube de Portugal,,,,Notícias,Desporto,,,,,,CML,23/10/2020,https://www.lisboa.pt/atualidade/noticias/detalhe/medalha-municipal-de-merito-desportivo-entregue-ao-maratona-clube-de-portugal/,,,,,,,,,,,,,,
Hortas de Lisboa: o rural na cidade,,,,Notícias,Ambiente; Cultura,,,,,,CML,23/10/2020,https://www.lisboa.pt/atualidade/noticias/detalhe/hortas-de-lisboa-o-rural-na-cidade/,,,,,,,,,,,,,,
Planeteirs World Gathering em Lisboa,,,,Notícias,Ambiente,,,,,,CML,22/10/2020,https://www.lisboa.pt/atualidade/noticias/detalhe/planetiers-world-gathering-em-lisboa/,,,,,,,,,,,,,,
Projeto LIFE contempla mais uma família,,,,Notícias,Habitação,,,,,,CML,22/10/2020,https://www.lisboa.pt/atualidade/noticias/detalhe/projeto-life-contempla-mais-uma-familia/,,,,,,,,,,,,,,
Pertubações na recolha de lixo dia 23 de Outubro,,,,Notícias,Ambiente; Informações e serviços,,,,,,CML,21/10/2020,https://www.lisboa.pt/atualidade/noticias/detalhe/perturbacoes-na-recolha-de-lixo-dia-23-de-outubro/,,,,,,,,,,,,,,
Direitos de residência sdos cidadãos nacionais do Reino Unido em Portugal,,,,Notícias,Cidadania e participação; direitos sociais; informações e serviços,,,,,,CML,21/10/2020,https://www.lisboa.pt/atualidade/noticias/detalhe/direitos-de-residencia-dos-cidadaos-nacionais-do-reino-unido-em-portugal/,,,,,,,,,,,,,,
Lisboa homenageia Fernão de Magalhães,,,,Notícias,Cultura,,,,,,CML,21/10/2020,https://www.lisboa.pt/atualidade/noticias/detalhe/lisboa-homenageia-fernao-de-magalhaes/,,,,,,,,,,,,,,
Abriu o terceiro concurso de Renda Acessível,,,,Notícias,Habitação; informações e serviços,,,,,,CML,21/10/2020,https://www.lisboa.pt/atualidade/noticias/detalhe/abriu-o-terceiro-concurso-de-renda-acessivel/,,,,,,,,,,,,,,
Semana Verde Europeia em Lisboa,,,,Notícias,Ambiente,,,,,,CML,19/10/2020,https://www.lisboa.pt/atualidade/noticias/detalhe/semana-verde-europeia-em-lisboa/,,,,,,,,,,,,,,
Vacinação contra a gripe arrancou em toda a cidade,,,,Notícias,Direitos sociais; segurança,,,,,,CML,19/10/2020,https://www.lisboa.pt/atualidade/noticias/detalhe/vacinacao-contra-a-gripe-arrancou-em-toda-a-cidade/,,,,,,,,,,,,,,
Previsão de precipitação e vento forte para dia 20 de outubro,,,,Notícias,Segurança,,,,,,CML,19/10/2020,https://www.lisboa.pt/atualidade/noticias/detalhe/precipitacao-e-vento-forte-para-dia-20-de-outubro/,,,,,,,,,,,,,,
Assegurar o futuro da dieta mediterrânica,,,,Notícias,Ambiente,,,,,,CML,18/10/2020,https://www.lisboa.pt/atualidade/noticias/detalhe/assegurar-o-futuro-da-dieta-mediterranica/,,,,,,,,,,,,,,
Jardins de Lisboa ganham vida no outono,,,,Notícias,Ambiente,,,,,,CML,18/10/2020,https://www.lisboa.pt/atualidade/noticias/detalhe/jardins-de-lisboa-ganham-vida-no-outono/,,,,,,,,,,,,,,
Obras de melhoramento da rede ciclável e pedonal em Belém,,,,Notícias,Mobilidade,,,,,,CML,16/10/2020,https://www.lisboa.pt/atualidade/noticias/detalhe/obras-de-melhoramento-da-rede-ciclavel-e-pedonal-em-belem/,,,,,,,,,,,,,,
Maior eficiência energética no edifício dos Paços do Concelho,,,,Notícias,Ambiente,,,,,,CML,15/10/2020,https://www.lisboa.pt/atualidade/noticias/detalhe/maior-eficiencia-energetica-no-edificio-dos-pacos-do-concelho/,,,,,,,,,,,,,,
Mais área pedonal junto às escolas Rosa Lobato Faria e António Arroio,,,,Notícias,Mobilidade,,,,,,CML,14/10/2020,https://www.lisboa.pt/atualidade/noticias/detalhe/mais-area-pedonal-junto-as-escolas-rosa-lobato-faria-e-antonio-arroio/,,,,,,,,,,,,,,
Complexo da Verbena fomenta atividade física e desporto em Santa Maria Maior,,,,Notícias,Desporto,,,,,,CML,10/10/2020,https://www.lisboa.pt/atualidade/noticias/detalhe/complexo-da-verbena-fomenta-atividade-fisica-e-desporto-em-santa-maria-maior/,,,,,,,,,,,,,,
Unidade de Saúde Familiar de Alvalade vai servir 4 mil utentes,,,,Notícias,Direitos sociais,,,,,,CML,9/10/2020,https://www.lisboa.pt/atualidade/noticias/detalhe/unidade-de-saude-familiar-de-alvalade-vai-servir-4-mil-utentes/,,,,,,,,,,,,,,
Tecnologia das City Trees torna Lisboa mais verde,,,,Notícias,Ambiente,,,,,,CML,8/10/2020,https://www.lisboa.pt/atualidade/noticias/detalhe/tecnologia-das-city-trees-torna-lisboa-mais-verde/,,,,,,,,,,,,,,
Grenoble é Capital Verde Europeia 2022,,,,Notícias,Ambiente,,,,,,CML,8/10/2020,https://www.lisboa.pt/atualidade/noticias/detalhe/grenoble-e-capital-verde-europeia-2022/,,,,,,,,,,,,,,
Associação Salvador recebe chave da nova sede em Lisboa,,,,Notícias,Direitos sociais; segurança,,,,,,CML,6/10/2020,https://www.lisboa.pt/atualidade/noticias/detalhe/associacao-salvador-recebe-chave-da-nova-sede-em-lisboa/,,,,,,,,,,,,,,
Fábrica de Águas de Beirolas aumenta capacidade de produção de água reciclada,,,,Notícias,Ambiente,,,,,,CML,6/10/2020,https://www.lisboa.pt/atualidade/noticias/detalhe/fabrica-de-aguas-de-beirolas-aumenta-capacidade-de-producao-de-agua-reciclada/,,,,,,,,,,,,,,
Amália Rodrigues homenageada no Panteão Nacional,,,,Notícias,Cultura,,,,,,CML,6/10/2020,https://www.lisboa.pt/atualidade/noticias/detalhe/amalia-rodrigues-homenageada-no-panteao-nacional/,,,,,,,,,,,,,,
Lisboa consagra vencedor da Volta a Portugal em Bicicleta,,,,Notícias,Desporto,,,,,,CML,5/10/2020,https://www.lisboa.pt/atualidade/noticias/detalhe/lisboa-consagra-vencedor-da-volta-a-portugal-em-bicicleta/,,,,,,,,,,,,,,
Biblioteca da Alcântara no renovado Palacete dos Condes de Burnay,,,,Notícias,Cultura; informações e serviços; visitar,,,,,,CML,5/10/2020,https://www.lisboa.pt/atualidade/noticias/detalhe/biblioteca-de-alcantara-no-renovado-palacete-dos-condes-de-burnay/,,,,,,,,,,,,,,
Comemorações oficiais da implantação da República em Lisboa,"A Bandeira Nacional foi hasteada hoje, 5 de Outubo, na varanda dos Paços do Concelho de Lisboa, local onde há 110 anos foi implantada a República em Portugal.","Na sua intervenção - após o hastear da Bandeira, ao som do Hino Nacional - Fernando Medina sublinhou que deve ser prosseguida ""uma política de verdade"" sobre a situação atual. ""É o momento de prosseguir a adaptação da realização das diversas atividade coletivas à situação da pandemia"", afirmou o presidente da Câmara Municipal de Lisboa"", acautelando a responsabilidade individual e ""a cooperação entre todos, no sentido da diminuição dos risco de saúde"". A ""segunda cirse de dimensões históricas numa década"", lembrou o autarca, reforça a importância de ""proteger, sem hestiaçãoes, o músculo económico e social do país"". START HERE",,Notícias,Cultura,,,,,,CML,5/10/2020,https://www.lisboa.pt/atualidade/noticias/detalhe/comemoracoes-oficiais-da-implantacao-da-republica-em-lisboa/,,,,,,,,,,,,,,
Dia de pedalar no World Bike Tour 2020,"Mais de 1 500 biciletas encheram, este domingo, 4 de outubro, a Avenida da Liberdade, num dia dedicado à saúde e à mobilidade sustentável. O World Bike Tour 2020 contou com participantes de todas as idades, num percurso de 10 km entre os Restauradores e o Parque das Nações","Devido à pandemia de Covid-19, e de acordo com as recomendações da Direção-Geral da Saúde, a partidas foram desfasadas. A cada 30 segundos partiram 4 ciclistas, evitando assim concentrações, mas gartindo um colorido diferente à cidade. ""Um dia de alegria, em que as pessoas vivem a cidade de forma diferente"", considerou Fernando Medina, um dos participantes da prova, e utilizador habitual deste meio de transporte. ""Sempre que possível"", revelou o presidente da Câmara Municipal de Lisboa (CML), ""utilizo a bicicleta nas minhas deslocações na cidade"". A prova, que desde a primeira edição em 2017 tem o apoio da CML, afirma-se como um incentivo à mobilidade sustentável, mostrando que pedalar pode mesmo estar ao alcance de todos. Os participantes na World Bike Tour, podem escolher a modalidade adequada e beneficiar de um Kit Bike Oferta, cuja utilização é ""obrigatória para participar no passeio"".",https://www.lisboa.pt/fileadmin/atualidade/noticias/_processed_/2/5/csm_World_Bike_Tour_2020_6b53ded87f.jpg,Notícias,Desporto; mobilidade,4/10/2020,"Avenida de Liberdade, Restauradores ao Parque das Nações",,https://www.lisboa.pt/programa-de-apoio-aquisicao-de-bicicletas,,CML,4/10/2020,https://www.lisboa.pt/atualidade/noticias/detalhe/dia-de-pedalar-no-world-bike-tour-2020/,,,,,,,,,,,,,,
Reabertura do túnel da avenida João XXI,"Túnel da avenida João XXI reabre à circulação automóvel na próxima segunda-feira, dia 5 de outubro, a partir das 6 horas.","Garantidas todas as condições de segurança, a circulação será feita de forma condicionada, para que possam ser realizados trabalhos em paralelo. Condicionamentos circulação condicionada a 1 via por sentido; trânsito proibido a pesados; velocidade máxima de 30 km/h; encerramento no período noturno, entre as 21h00 e as 6h00. Estes condicionamentos serão acompanhados em permanência por elementos da Polícia Municipal nas entradas do Campo Pequeno e das Olaias. Os serviços municipais continuarão a desenvolver os trabalhos e os melhoramentos necessários para a normalização da circulação.",,Notícias,Mobilidade,5/10/2020,Túnel da avenida joão XXI,,https://www.lisboa.pt/atualidade/noticias/detalhe/tunel-da-joao-xxi-aberto-24-horas-a-partir-de-8-de-dezembro; https://www.lisboa.pt/atualidade/noticias/detalhe/incendio-no-tunel-da-av-joao-xxi,,CML,3/10/2020,https://www.lisboa.pt/atualidade/noticias/detalhe/reabertura-do-tunel-da-avenida-joao-xxi/,,,,,,,,,,,,,,
Uma horta que é uma floresta,"O projeto Bela FLore Respira - Agrofloresta, em Campolide, recebeu a equipa dos Jardins Abertos para um dos pré-eventos de lançamento da edição de outono. O festival, com edição presencial e online, decorre nos dias 17/18, 24/25 de outubro.","A primeira agrofloresta na cidade com cariz pedagógico e experimental, e que integra pela primeira bez a programação do festival, teve a participação de moradores e voluntários, que preparam o terreno para as plantações de outono. Um espaço único na cidade, onde vemos, em harmonia, a plantação de alimentos (como tomate ou couve) e plantas ornamentais. E assim nasceu uma horta comunitária, que é também uma floresta. Maria Júlia, uma das moradoras do bairro, está envolvida desde o início no projeto e começou ""por curiosidade"". Aos poucos, foi entrando neste que considera um projeto comunitário ""lindíssimo"". A visita de hoje, da euqipa dos jardins abertos, ""é muito boa para puxar anda mais os vizinhos a participar"". Pietro Romani, coordenador do voluntariado do Festival Jarins Abertos explica que o conceito da agrofloresta ""envolve a produção de alimentos e um espaço de jardim comum, sem barreiras, nem vedações. É um espaço aberto a toda a comunidade"". ""Hoje, nós vamos a ajudar a preparar o terreno para o plantio de outono. Desenvolvemos sempre estas ações com os voluntários, porque permite um enconro de todos, e a criação de uma ligação às comunidades e aos jardins que integram a programação do festival"". O diretor do Festival, Tomás Tojo, explicou que esta edição traz algumas noviades, nomeadamente a inclusão da Agrofloresta da Bela Flor. Com uma edição presencial e online, os Jardins Abertos convidam, desde 2017, descoberta dos jarins e ecossistemas da cidade de Lisboa.",https://www.lisboa.pt/fileadmin/atualidade/noticias/_processed_/e/e/csm_Projeto_Bela_Flor_Respira_-_Agrofloresta__em_Campolide__recebeu_a_equipa_dos_Jardins_Abertos0_ae524b2a4a.jpg,Notícias,Ambiente,3/10/2020,"Agrofloresta, Campolide",,,,CML,3/10/2020,https://www.lisboa.pt/atualidade/noticias/detalhe/uma-horta-que-e-uma-floresta/,,,,,,,,,,,,,,
Construção de percurso ciclável entre Sete Rios e Benfica,"Nova ligação ciclável - com mais de dois 2 km, ao longo da Rua Conde ALmoster e Rua Francisco Gentil Martins, em São Domingos de Benfica - tem início a 6 de outubro e um prazo de execução estimado de 30 dias.","Os trabalhos poderão prolongar-se até 31 de dezembro de 2020 (noticia atualizada dia 9 de novembro). A Câmara Municipal de Lisboa (CML) e a EMEL, vão iniciar as obras de construção de uma ligação ciclável, com mais de dois quilómetros, ao longo da Rua Conde Almoster e Rua Francisco Gentil Martins. A ciclovia fará a ligação, a norte, à rede ciclável existente de Benfica e ao Parque FLorestal de Monsanto e, a sul, ao Terminal de Seter Rios. Prevê-se, no futuro, dar continuidade ao percurso até à estação de Benfica, pela Rua Carolina Michaelis de Vasconcelos. A intervenção mantém o estacionamento existente e vai permitir também reduzir a velocidade praticada naquele eixo, contribuindo para o aumento da segurança rodoviária. De acordo com os dados da Autoridade Nacional de Segurança Rodoviária, em 2019, foram registados nestes dois arruamentos nove feridos em resultado de incidentes rodoviários, incluindo de dois peões por atropelamento. A CML tem em curso um programa de promoção do uso da bicicleta, onde se inclui a implemntação de uma rede ciclãvel estruturante, que cubra os eixos centrais de circulação e ligue os principais polos de trabalho, estudo e residência. A estratégia, visa criar uma alternativa segura para que cada vez mais pessoas possam optar pelabicicleta nas suas deslocações quotidianas, e assim, diminuir os congestionamentos e melhorar o ambiente na cidade.",https://www.lisboa.pt/fileadmin/atualidade/noticias/_processed_/4/8/csm_Rua_Conde_de_Almoster_5c0045ff93.jpg,Notícias,Mobilidade,06/10/2020 + 30 dias,ao longo da Rua COnde Almoster e Rua Francisco Gentil Martins (São DOmingos de Benfica),,https://www.lisboa.pt/atualidade/noticias/detalhe/expansao-da-rede-ciclavel-de-lisboa,,CML,3/10/2020,https://www.lisboa.pt/atualidade/noticias/detalhe/construcao-de-percurso-ciclavel-entre-sete-rios-e-benfica/,,,,,,,,,,,,,,
Espécie ameaçada recupera no LxCRAS e é libertada,"Foi libertada em Alcaria Ruiva, concelho de Mértola, a águia-imperial-ibérica encontrada em perigo, a recuperada no Centro de Recuperação de Animais Silvestres de Lisboa (LxCRAS).","No âmbito dos tabalhos de monitorização de uma das espécias mais ameaçadas no nosso país, a águia-imperial-iberica foi entregue aos cuidados do LxCRAS, no final de junho. Arecuperação gradual deste juvenil, nascido este ano no Alentejo, foi realizada em estreita colaboração com o Instituto da Conservação da Natureza e das Florestas. Um voo forte, consistente e confiante, e um excelente sinal de partida para uma recuperação desafiante, dada a relevância que um só indivíduo pode assumir numa espécie ameaçada como a águia-imperial-ibérica. Um emissor relevará os seus moviemtnos, dando informações imprtantes sobre a sua sobrevivência e reintegração na população.",https://www.lisboa.pt/fileadmin/atualidade/noticias/_processed_/4/9/csm_Aguia-imperial-iberica__Aquila_adalberti__1f308586c5.jpg,Notícias,Ambiente; Bem-estar animal,,Alcaria Ruiva (Concelho de Mértola),,https://www.lisboa.pt/atualidade/noticias/detalhe/aguia-cobreira-recuperada-no-lxcras-foi-libertada,,CML,2/10/2020,https://www.lisboa.pt/atualidade/noticias/detalhe/especie-ameacada-recupera-no-lxcras-e-e-libertada/,,,,,,,,,,,,,,
Circulação restabelecida na Linha Azul do Metropolitano,"A circulação na linha azul do Metropolitano de LIsboa via ser restabelecida às 23h00 de joje, 1 de outubro, depois do incidente que ocorreu na terça-feira no troço que atravessa a Praça de Espanha.","Em comunicado, a empresa informa que ""estão asseguradas todas as condições técnicas e de segurança"" para a reposição a partir das 23 horas.",https://www.lisboa.pt/fileadmin/atualidade/noticias/_processed_/6/2/csm_metropolitano_203dc9128d.jpg,Notícias,Mobilidade; Segurança,01/10/2020 23h00,"Praça de Espanha, Linha Azul do metro",,https://www.lisboa.pt/atualidade/noticias/detalhe/circulacao-na-linha-azul-do-metro-devera-ser-integralmente-reposta-sexta-feira,,CML,1/10/2020,https://www.lisboa.pt/atualidade/noticias/detalhe/circulac%CC%A7a%CC%83o-restabelecida-na-linha-azul-do-metropolitano/,,,,,,,,,,,,,,
Memória de Alcindo Monteiro perpetuada em Lisboa,"Alcindo Monteiro foi assassinado há 25 anos, vítima de um crme de ódio racial. No dia em que faria 53 anos, a Câmara Municipal de Lisboa prestou-lhe homenagem, com a colocação de uma placa na Rua Garrett, local onde morreu, com apenas 27 anos.","Na cerimónia, com a presença de familiares do jovem português de ascendência cabo-verdiana, e do vereador dos Diretios Sociais, Manuel Grilo, o presidente da Câmara Municipal de Lisboa, Fernando Medina, evocou os valores da tolerância e inclusão, sublinhando que não aceita que o racismo, a xenofobia e a intolerância sejam uma realidade em Lisboa. ""Não vamos por aí, vamos pelo cominho de uma cidade aberta, tolerante, consmopolita, que todos integra"", afirmou Fernano Medina.",https://www.lisboa.pt/fileadmin/atualidade/noticias/_processed_/9/c/csm_Placa_Alcino_Monteiro__ASR-8187_88585fd692.jpg,Notícias,Direito sociais,1/10/2020,Placa na Rua Garrett,,https://www.lisboa.pt/atualidade/noticias/detalhe/alcindo-monteiro-homenageado-em-lisboa-no-aniversario-do-seu-assassinato,,CML,1/10/2020,https://www.lisboa.pt/atualidade/noticias/detalhe/memoria-de-alcindo-monteiro-perpetuada-em-lisboa/,,,,,,,,,,,,,,
Câmara de Lisboa aumenta oferta da rede pública de creches na cidade,"A Quinta Conde dos Arcos, nos Olivais, +e a morada de uma nova creche com capacidade para 84 crianças até aos três anos. o investimento da autarquia, superior a um milhão de euros, integra o Programa de Desenvolvimento de Creches em Lisboa - B.a.Bá.","A rede de creches públicas de Lisboa é ""dos investimentos mais importantes que a câmara está a fazer"", salientou Fernando Medina, presidente da Câmara Municipal de Lisboa, durante uma visita, no dia 1 de outubro, que assinala a abertura da Creche Quinta dos Arcos. Durante a manhã, o autarca deslocou-se ainda ao local onde vai ser construída a Creche da Estrada da Luz e visitou a obra, já em curso, da Creche do Convento do Desagravo. Na Estrada da Luz, em São Domingos de Benfica, irá nascer uma nova creche, com capacidade para 84 crianças até aos três anos. A obra, que deverá ficar concluída em julho de 2021, representa um investimento superior a 900 mil euros, e está inserida numa empreitada de quatro creches modulares: Estrada da Luz, Marquês de Olhão, Ilha dos AMores e Casal do Pinto. As creches ""são infraestruturas absolutamente essenciais para dar apoio às famílias"", afirmou Fernando Medina, no Convento do Desagravo, local onde sera instalada, até maio de 2021, uma creche para 42 ciranças, dos 4 aos 36 meses. O investimento, de 1,7 milhões de euros, representa mais um passo na valorização do antigo convento, reabilitado em 2015, onde funciona tualmente uma escola básica com jardim de infância. Em outuburo - com um investimento total da autarquia superior a 6 milhões de euros - iniciam as obras para cinco creches (nas freguesias de São Domingos Benfica, Parque das Nações, São Vicente e 2 no Beato), num total de 292 vagas. Co-financiamento comunitário FEDER A conceção e a construção destas três creches benefica de fundos da União Europeia (FEDER-Fundo Europeu de Desenvolvimento Regional), através do Programa Operacional Lisboa 2020, sendo os respetivos montantes dos apoios públicos da UE de: Creche da Quinta dos Arcos - 419.624,59 €; Creche do Vonvento do Desagravo - 210.106,32 €; Creche da Estrada da Luz - 155.673,25 €.",https://www.lisboa.pt/fileadmin/atualidade/noticias/_processed_/5/a/csm_Creche_Quinta_dos_Arcos_a4ca2fd325.jpg,Notícias,Educação,1/10/2020,Creche Quinta dos Arcos; Creche da Estrada da Luz; Creche do Convento do Desagravo,https://informacoeseservicos.lisboa.pt/contactos/diretorio-da-cidade/cat/pre-escolar,,,CML,1/10/2020,https://www.lisboa.pt/atualidade/noticias/detalhe/camara-de-lisboa-aumenta-oferta-da-rede-publica-de-creches-na-cidade/,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
